Comuna,Superficie_km2,Poblacion,Conexiones_fijas_intenet,M2_areas_verdes,N_micro_empresas,N_pequenas_empresas,N_medianas_empresas,N_grandes_empresas
Alhue,845,7536,52,0,249,60,6,2
Buin,214,111934,21439,325865,4134,1076,110,40
Calera de Tango,73.3,29019,2657,0,1051,323,41,14
Cerrillos,21,89520,19788,632472,2495,769,143,104
Cerro Navia,11,142304,26354,496196,3328,568,43,10
Colina,971.2,185599,32579,1219979,4730,1588,250,159
Conchali,10.7,139394,32513,488972,3734,884,152,98
Curacavi,693,36991,3276,94434,1529,319,42,13
El Bosque,14.2,171789,35636,465,4227,830,86,23
El Monte,118,40620,5635,18000,1082,266,21,12
Estacion Central,15,214470,52799,868892,4934,1304,203,113
Huechuraba,44.8,114453,25439,417975,3643,1389,423,445
Independencia,7,147655,34980,251341,3268,1088,173,54
Isla de Maipo,189,40803,3636,53757,1395,348,35,15
La Cisterna,10,101126,30440,139934,3951,1129,151,41
La Florida,70.2,405185,115763,1577484,12330,2626,275,94
La Granja,10,122028,24179,716679,2953,655,67,14
La Pintana,30.6,189454,13844,922757,3716,873,143,37
La Reina,23,100459,28820,437747,4240,1463,176,70
Lampa,452,131436,20606,0,4122,1224,286,189
Las Condes,99,335296,123359,2221657,30890,14481,3570,2985
Lo Barnechea,1024,126816,27202,1088385,6006,3111,558,289
Lo Espejo,7,103381,13601,379414,2323,447,53,28
Lo Prado,7,104405,21364,367186,2465,418,26,6
Macul,12.9,136278,41276,538214,3863,1016,222,116
Maipu,135.5,584053,158938,3341529,16556,3379,331,151
Maria Pinto,393.5,15132,198,147572,650,152,33,12
Melipilla,1345,143779,19190,0,5842,1463,176,58
Nunoa,16.9,255823,98545,1117854,11118,3217,529,164
Padre Hurtado,80.8,76219,17607,20693,2343,516,52,18
Paine,820,84379,6607,153774,2849,853,106,64
Pedro Aguirre Cerda,10,107409,23271,252734,3113,838,146,39
Penaflor,69,102667,22192,537835,3114,699,58,25
Penalolen,54,269296,54046,1401018,6738,1423,131,43
Pirque,445.3,31134,1761,57805,1085,305,49,20
Providencia,14.3,160043,73198,760184,28756,12171,2495,1246
Pudahuel,197,256607,61302,1126733,6648,1629,348,300
Puente Alto,88,655033,153696,2997104,17263,2696,174,50
Quilicura,58,261993,51909,797461,6279,1872,453,471
Quinta Normal,13,138904,36837,156471,4763,1588,235,97
Recoleta,16,193605,39371,810648,7677,2624,556,220
Renca,24,161959,29817,794,3972,1003,214,147
San Bernardo,155,339043,69448,1550419,9180,2337,392,259
San Joaquin,9.7,103871,23731,486919,3348,1122,171,81
San Jose de Maipo,4994.8,18917,873,0,783,169,11,5
San Miguel,10,136835,55568,0,5371,1710,303,85
San Pedro,788,12132,411,27324,551,146,15,5
San Ramon,7,86017,13845,494145,2312,455,35,5
Santiago,22,517280,171687,2103333,39196,13194,2184,1050
Talagante,126,82900,15156,326793,2917,674,70,25
Til Til,653,21783,2209,5000,756,227,27,10
Vitacura,28.3,97695,34864,2021,7872,4201,918,587
