dir_d,Num_viajes,Hora_llegada_1,Hora_llegada_2,Hora_llegada_3,Hora_llegada_4,Hora_llegada_5,Hora_llegada_6,Hora_llegada_7,Hora_llegada_8,Hora_llegada_9,Hora_llegada_10,Hora_llegada_11,Hora_llegada_12,Hora_llegada_13,Hora_llegada_14,Hora_llegada_15,Hora_llegada_16,Hora_llegada_17,Hora_llegada_18,Hora_llegada_19,Hora_llegada_20,Hora_llegada_21,Hora_llegada_22,Hora_llegada_23,Num_escuelas,Num_hospitales,Num_iglesias,Num_zonas_tipicas,Superficie_km2,Poblacion,Conexiones_fijas_intenet,M2_areas_verdes,N_micro_empresas,N_pequenas_empresas,N_medianas_empresas,N_grandes_empresas
Buin,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,842,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,841,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
Buin,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,245,16,0.0,0.0,214.0,111934,21439,325865,4134,1076,110,40
