dir_o,dir_d,0
La Florida,Puente Alto,10164
Puente Alto,La Florida,9854
Vitacura,Las Condes,8352
Lo Barnechea,Las Condes,8352
Las Condes,Vitacura,8210
Las Condes,Lo Barnechea,7836
Penalolen,La Florida,6635
Buin,Paine,6629
La Florida,Penalolen,6498
Paine,Buin,5990
Pudahuel,Cerro Navia,5959
Maipu,Pudahuel,5824
Cerro Navia,Pudahuel,5714
Pudahuel,Maipu,5677
El Bosque,San Bernardo,5508
San Bernardo,El Bosque,5357
San Pedro,San Pedro,5342
La Florida,La Granja,5099
La Granja,La Florida,5034
Las Condes,Providencia,4901
Las Condes,La Reina,4736
Penalolen,Macul,4631
Providencia,Las Condes,4455
San Bernardo,Buin,4413
Providencia,Nunoa,4339
Nunoa,Santiago,4324
Quilicura,Lampa,4319
Nunoa,Providencia,4239
Buin,San Bernardo,4225
Recoleta,Huechuraba,4212
Penalolen,La Reina,4199
Macul,Penalolen,4155
Santiago,Estacion Central,4065
Huechuraba,Recoleta,4056
Santiago,Nunoa,3982
Estacion Central,Maipu,3940
Estacion Central,Santiago,3926
Maipu,Estacion Central,3842
El Monte,Talagante,3774
Providencia,Santiago,3739
Talagante,El Monte,3725
Cerrillos,Maipu,3664
Puente Alto,San Jose de Maipo,3533
Maipu,Padre Hurtado,3526
Maipu,Cerrillos,3451
Santiago,San Miguel,3402
La Cisterna,San Miguel,3386
Lo Barnechea,Vitacura,3312
Lampa,Quilicura,3302
Penalolen,Nunoa,3242
Puente Alto,Pirque,3234
Cerro Navia,Renca,3228
San Miguel,Santiago,3139
Santiago,Providencia,3124
Padre Hurtado,Maipu,3106
Conchali,Huechuraba,3094
Nunoa,Macul,3084
Las Condes,Maipu,3075
Pirque,Puente Alto,3047
San Jose de Maipo,Puente Alto,3041
Colina,Lampa,3012
Estacion Central,Pudahuel,2995
Pudahuel,Lo Prado,2990
Macul,Nunoa,2981
La Florida,Santiago,2902
Las Condes,Nunoa,2901
Conchali,Recoleta,2892
Pudahuel,Estacion Central,2886
Renca,Cerro Navia,2884
Vitacura,Lo Barnechea,2882
Lo Prado,Pudahuel,2881
San Miguel,La Cisterna,2863
Maipu,Santiago,2851
La Pintana,Puente Alto,2831
Nunoa,La Reina,2823
Estacion Central,Lo Prado,2813
Nunoa,Penalolen,2771
Recoleta,Conchali,2768
Puente Alto,La Pintana,2741
Lampa,Colina,2729
Maipu,Las Condes,2719
Huechuraba,Conchali,2698
La Pintana,El Bosque,2692
Lo Prado,Estacion Central,2637
Cerro Navia,Quinta Normal,2607
Santiago,Quinta Normal,2593
Recoleta,Santiago,2583
Quinta Normal,Cerro Navia,2550
Quinta Normal,Santiago,2527
Santiago,Recoleta,2507
La Cisterna,San Ramon,2504
La Granja,Puente Alto,2487
San Ramon,La Cisterna,2474
Curacavi,Maria Pinto,2452
Quinta Normal,Lo Prado,2443
San Ramon,La Granja,2431
La Pintana,San Bernardo,2414
Lo Prado,Quinta Normal,2385
Santiago,Independencia,2379
Cerrillos,Estacion Central,2365
El Bosque,La Pintana,2362
La Granja,San Ramon,2359
San Joaquin,San Miguel,2345
Nunoa,Las Condes,2345
San Bernardo,La Pintana,2319
Talagante,Isla de Maipo,2316
La Cisterna,Lo Espejo,2307
Estacion Central,Cerrillos,2302
Santiago,Maipu,2296
San Bernardo,Calera de Tango,2279
Isla de Maipo,Talagante,2274
Lo Espejo,La Cisterna,2271
Independencia,Santiago,2258
La Cisterna,El Bosque,2230
Puente Alto,La Granja,2177
Quinta Normal,Estacion Central,2174
La Florida,Macul,2160
Estacion Central,Quinta Normal,2151
San Miguel,San Joaquin,2150
Quilicura,Colina,2137
Talagante,Penaflor,2127
Pedro Aguirre Cerda,San Miguel,2090
Penaflor,Talagante,2090
Macul,La Florida,2083
Santiago,La Florida,2082
Las Condes,Santiago,2075
Quinta Normal,Renca,2068
Colina,Quilicura,2063
Puente Alto,La Reina,2021
El Bosque,La Cisterna,1987
San Miguel,Pedro Aguirre Cerda,1957
Lo Espejo,Cerrillos,1953
Maria Pinto,Curacavi,1933
Santiago,Las Condes,1924
Renca,Quinta Normal,1919
San Bernardo,Puente Alto,1898
Penaflor,Maipu,1886
Conchali,Quilicura,1876
Providencia,La Reina,1845
Penalolen,Las Condes,1837
La Florida,Nunoa,1831
Calera de Tango,San Bernardo,1807
Cerrillos,Lo Espejo,1803
Las Condes,Pudahuel,1800
Las Condes,Penalolen,1794
Recoleta,Independencia,1783
Renca,Conchali,1779
Puente Alto,Santiago,1766
Puente Alto,San Bernardo,1765
Independencia,Recoleta,1762
Maipu,Penaflor,1733
Pudahuel,Renca,1712
Padre Hurtado,Penaflor,1682
Pudahuel,Santiago,1670
Penalolen,Puente Alto,1644
Conchali,Renca,1616
El Monte,Melipilla,1616
Renca,Independencia,1589
Pudahuel,Las Condes,1587
Santiago,Pedro Aguirre Cerda,1576
Quilicura,Conchali,1564
